Mã tài sản,Tên tài sản,Ngày vào sổ,Ngày sử dụng,Đơn vị sử dụng,Số lượng TS con,Số lượng Phụ lục ts,Ghi chú,Tài khoản tài sản,Dự án,Mô hình tài sản,Nguyên giá tài sản,Giá trị Khấu hao ban đầu,Kỳ khấu hao ban đầu,GTCL ban đầu,Giá trị Khấu hao phát sinh,Kỳ khấu hao phát sinh,Giá trị khấu hao còn lại,Kỳ khấu hao còn lại
B.2.ZH.0054,"B.2.ZH.0054 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0055,"B.2.ZH.0055 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0056,"B.2.ZH.0056 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0057,"B.2.ZH.0057 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0058,"B.2.ZH.0058 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0059,"B.2.ZH.0059 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0060,"B.2.ZH.0060 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0061,"B.2.ZH.0061 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0062,"B.2.ZH.0062 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0063,"B.2.ZH.0063 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0064,"B.2.ZH.0064 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0065,"B.2.ZH.0065 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0066,"B.2.ZH.0066 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0067,"B.2.ZH.0067 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0068,"B.2.ZH.0068 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0069,"B.2.ZH.0069 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0070,"B.2.ZH.0070 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0071,"B.2.ZH.0071 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0072,"B.2.ZH.0072 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0073,"B.2.ZH.0073 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0074,"B.2.ZH.0074 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0075,"B.2.ZH.0075 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0076,"B.2.ZH.0076 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0077,"B.2.ZH.0077 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0078,"B.2.ZH.0078 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0079,"B.2.ZH.0079 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0080,"B.2.ZH.0080 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0081,"B.2.ZH.0081 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0082,"B.2.ZH.0082 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0083,"B.2.ZH.0083 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0084,"B.2.ZH.0084 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0085,"B.2.ZH.0085 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 2,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0086,"B.2.ZH.0086 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0087,"B.2.ZH.0087 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0088,"B.2.ZH.0088 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.041,00","94.799.004,00","31,00","39.993.037,00","31.855.495,97","52,00","8.137.541,03","13,00"
B.2.ZH.0089,"B.2.ZH.0089 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0090,"B.2.ZH.0090 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0091,"B.2.ZH.0091 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0092,"B.2.ZH.0092 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0093,"B.2.ZH.0093 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0094,"B.2.ZH.0094 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0095,"B.2.ZH.0095 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0096,"B.2.ZH.0096 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.042,00","94.799.004,00","31,00","39.993.038,00","31.855.496,77","52,00","8.137.541,23","13,00"
B.2.ZH.0097,"B.2.ZH.0097 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0098,"B.2.ZH.0098 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0099,"B.2.ZH.0099 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0100,"B.2.ZH.0100 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0101,"B.2.ZH.0101 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0102,"B.2.ZH.0102 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0103,"B.2.ZH.0103 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0104,"B.2.ZH.0104 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0105,"B.2.ZH.0105 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0106,"B.2.ZH.0106 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0107,"B.2.ZH.0107 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
B.2.ZH.0108,"B.2.ZH.0108 - Giá khung thủy lực di động mã hiệu ZH1600/16/24F ( kèm phụ kiệt, cột chống )",2021-03-08,2021-03-08,Phân xưởng khai thác đào lò 8,"0,00","0,00",,2112,186 - DAĐT CN giá khung thủy lực khu ĐV-Gói thầu số 02: Cung cấp TB  chống giữ lò và các TB phụ trợ,"2112-Máy móc, thiết bị","134.792.043,00","94.799.004,00","31,00","39.993.039,00","31.855.497,57","52,00","8.137.541,43","13,00"
